ID;RTS_nr;JAHR;MPDS;PDS;KRIT_NR;AUSPRAEGUNG;LL_UG_NR;AUSPR2;RTS_TYP1;ANZ_S;ANZ_UG;MW_A_PR;MW_M_PR;MW_A_PW;MW_M_PW;filter_$
140026201;25;2017;1666435;1666436;1202;E25010;0;A601;9;129;125;10,304;320,48;3,056976;95,228671;1
140026202;25;2017;1666435;1666436;1202;E25010;0;A590;9;129;47;4,382979;131,489362;1,276156;38,284691;1
140026203;25;2017;1666435;1666436;1202;E25010;0;A580;9;129;17;1,058824;31,764706;,284916;8,547482;1
140026204;25;2017;1666435;1666436;1202;E25010;0;A561;9;129;128;4,90625;194,140625;1,441736;57,05479;1
140026205;25;2017;1666435;1666436;1202;E25010;0;A552;9;129;128;8,710938;274,492188;2,535426;79,817092;1
140031350;25;2017;1666435;1666436;1204;E25010;;ETM_NR;;129;129;55,744186;1119,263566;16,12017;327,471392;1
140031351;25;2017;1666435;1666436;1204;E25010;;ETM_NR;1;129;23;30,826087;565,869565;8,920693;165,931434;1
140031352;25;2017;1666435;1666436;1204;E25010;;ETM_NR;3;129;54;55,703704;871,203704;15,755713;250,230068;1
140031353;25;2017;1666435;1666436;1204;E25010;;ETM_NR;4;129;52;66,807692;1621,634615;19,68303;479,133903;1
140031354;25;2017;1666435;1666436;1204;E25020;;ETM_NR;;129;129;1,325581;83,953488;,364946;23,653648;1
140031355;25;2017;1666435;1666436;1204;E25020;;ETM_NR;0;129;50;0;0;0;0;1
140031356;25;2017;1666435;1666436;1204;E25020;;ETM_NR;1;129;50;1,36;89,4;,375233;25,332188;1
140031357;25;2017;1666435;1666436;1204;E25020;;ETM_NR;3;129;17;2,941176;180;,798675;50,332682;1
140031358;25;2017;1666435;1666436;1204;E25020;;ETM_NR;4;129;12;4,416667;275;1,228241;77,421296;1
140031359;25;2017;1666435;1666436;1204;E25030;;ETM_NR;;129;129;7,232558;512,55814;2,162852;153,085774;1
140031360;25;2017;1666435;1666436;1204;E25030;;ETM_NR;0;129;1;0;0;0;0;1
140031361;25;2017;1666435;1666436;1204;E25030;;ETM_NR;1;129;1;1;60;,388889;23,333333;1
140031362;25;2017;1666435;1666436;1204;E25030;;ETM_NR;3;129;1;5;300;1,296296;77,777778;1
140031363;25;2017;1666435;1666436;1204;E25030;;ETM_NR;4;129;126;7,357143;521,904762;2,200974;155,928204;1
140031364;25;2017;1666435;1666436;1204;E25040;;ETM_NR;;129;129;23,589147;632,015504;7,02101;187,640415;1
140031365;25;2017;1666435;1666436;1204;E25040;;ETM_NR;4;129;129;23,589147;632,015504;7,02101;187,640415;1
140031366;25;2017;1666435;1666436;1204;E25050;;ETM_NR;;129;129;7,348837;528,372093;2,175038;157,997717;1
140031367;25;2017;1666435;1666436;1204;E25050;;ETM_NR;1;129;1;3;90;,84;25,2;1
140031368;25;2017;1666435;1666436;1204;E25050;;ETM_NR;3;129;1;4;165;1,037037;42,777778;1
140031369;25;2017;1666435;1666436;1204;E25050;;ETM_NR;4;129;127;7,409449;534,685039;2,19451;159,950612;1
140031370;25;2017;1666435;1666436;1204;E25060;;ETM_NR;;129;129;1,565891;82,55814;,444859;23,491285;1
140031371;25;2017;1666435;1666436;1204;E25060;;ETM_NR;0;129;39;0;0;0;0;1
140031372;25;2017;1666435;1666436;1204;E25060;;ETM_NR;1;129;31;1;55,645161;,313329;17,476988;1
140031373;25;2017;1666435;1666436;1204;E25060;;ETM_NR;3;129;18;2;96,666667;,617797;29,858747;1
140031374;25;2017;1666435;1666436;1204;E25060;;ETM_NR;4;129;41;3,292683;175,243902;,891543;47,588578;1
140031375;25;2017;1666435;1666436;1204;E25070;;ETM_NR;;129;129;1,705426;100,387597;,499473;29,403786;1
140031376;25;2017;1666435;1666436;1204;E25070;;ETM_NR;0;129;52;0;0;0;0;1
140031377;25;2017;1666435;1666436;1204;E25070;;ETM_NR;1;129;29;1,448276;85,517241;,39944;23,595915;1
140031378;25;2017;1666435;1666436;1204;E25070;;ETM_NR;3;129;24;2,541667;151,666667;,763787;45,61114;1
140031379;25;2017;1666435;1666436;1204;E25070;;ETM_NR;4;129;24;4,875;284,583333;1,438224;83,922478;1
140031380;25;2017;1666435;1666436;1204;E25080;;ETM_NR;;129;129;,193798;23,255814;,059187;7,102498;1
140031381;25;2017;1666435;1666436;1204;E25080;;ETM_NR;0;129;116;0;0;0;0;1
140031382;25;2017;1666435;1666436;1204;E25080;;ETM_NR;3;129;1;1;120;,259259;31,111111;1
140031383;25;2017;1666435;1666436;1204;E25080;;ETM_NR;4;129;12;2;240;,614661;73,759259;1
140031384;25;2017;1666435;1666436;1204;E25090;;ETM_NR;;129;129;,651163;13,178295;,177857;3,583428;1
140031385;25;2017;1666435;1666436;1204;E25090;;ETM_NR;0;129;103;0;0;0;0;1
140031386;25;2017;1666435;1666436;1204;E25090;;ETM_NR;1;129;1;1;15;,35;5,25;1
140031387;25;2017;1666435;1666436;1204;E25090;;ETM_NR;3;129;6;2;30;,520368;7,805506;1
140031388;25;2017;1666435;1666436;1204;E25090;;ETM_NR;4;129;19;3,736842;79,210526;1,02481;21,588377;1
140031389;25;2017;1666435;1666436;1204;E25100;;ETM_NR;;129;129;,108527;1,627907;,022594;,338909;1
140031390;25;2017;1666435;1666436;1204;E25100;;ETM_NR;0;129;124;0;0;0;0;1
140031391;25;2017;1666435;1666436;1204;E25100;;ETM_NR;4;129;5;2,8;42;,582924;8,743863;1
140026307;25;2017;1666435;1666437;1202;E25100;0;D573;9;43;43;2,372093;35,581395;,718122;10,771833;1
140026308;25;2017;1666435;1666437;1202;E25100;0;D572;9;43;1;1;15;,259259;3,888889;1
140026309;25;2017;1666435;1666437;1202;E25090;0;D599;9;43;2;1;45;,259259;11,666667;1
140026310;25;2017;1666435;1666437;1202;E25090;0;D563;9;43;7;1,142857;32,142857;,349346;9,730392;1
140026311;25;2017;1666435;1666437;1202;E25090;0;D561;9;43;2;2;30;,563889;8,458333;1
140026312;25;2017;1666435;1666437;1202;E25090;0;D553;9;43;4;1,5;33,75;,4497;10,574346;1
140026313;25;2017;1666435;1666437;1202;E25090;0;D552;9;43;40;1,125;48,75;,346614;15,107787;1
140026314;25;2017;1666435;1666437;1202;E25090;0;C551;9;43;43;12,883721;197,790698;3,95618;60,607015;1
140026315;25;2017;1666435;1666437;1202;E25080;0;F578;9;43;1;3;180;,777778;46,666667;1
140026316;25;2017;1666435;1666437;1202;E25070;0;F612;9;43;42;3,404762;102,142857;1,060311;31,809331;1
140026317;25;2017;1666435;1666437;1202;E25060;0;F571;9;43;28;1;60;,320261;19,215686;1
140026318;25;2017;1666435;1666437;1202;E25060;0;F560;9;43;6;5,333333;320;1,544626;92,67756;1
140026319;25;2017;1666435;1666437;1202;E25060;0;F554;9;43;32;2,625;71,71875;,814694;22,323721;1
140026320;25;2017;1666435;1666437;1202;E25050;0;M630;9;43;6;1;90;,350635;31,55719;1
140026321;25;2017;1666435;1666437;1202;E25050;0;M621;9;43;5;1;240;,382484;91,796078;1
140026322;25;2017;1666435;1666437;1202;E25050;0;M600;9;43;12;1,75;125;,592298;42,096562;1
140026323;25;2017;1666435;1666437;1202;E25050;0;M590;9;43;2;1,5;45;,444231;13,326923;1
140026324;25;2017;1666435;1666437;1202;E25050;0;M551;9;43;34;19,382353;96,911765;5,814255;29,071273;1
140026325;25;2017;1666435;1666437;1202;E25040;0;H621;9;43;1;10;200;2,592593;51,851852;1
140026326;25;2017;1666435;1666437;1202;E25040;0;H575;9;43;42;16,47619;90,47619;4,87439;26,981562;1
140026327;25;2017;1666435;1666437;1202;E25040;0;H571;9;43;42;1,02381;15,357143;,320576;4,808636;1
140026328;25;2017;1666435;1666437;1202;E25040;0;H560;9;43;43;1,023256;15,348837;,31915;4,787247;1
140026329;25;2017;1666435;1666437;1202;E25040;0;C704;9;43;39;3,179487;285;,981262;87,862237;1
140026330;25;2017;1666435;1666437;1202;E25040;0;C639;9;43;29;1;60;,300155;18,009282;1
140026331;25;2017;1666435;1666437;1202;E25040;0;C633;9;43;30;1;75;,302782;22,708655;1
140026332;25;2017;1666435;1666437;1202;E25040;0;C611;9;43;43;1;60;,314362;18,861709;1
140026333;25;2017;1666435;1666437;1202;E25040;0;C552;9;43;4;1;18,75;,320071;6,34518;1
140026334;25;2017;1666435;1666437;1202;E25030;0;C693;9;43;38;8,184211;491,052632;2,526999;151,619947;1
140026335;25;2017;1666435;1666437;1202;E25020;0;E660;9;43;6;1,5;67,5;,516358;23,236111;1
140026336;25;2017;1666435;1666437;1202;E25020;0;E652;9;43;8;1,875;56,25;,530528;15,91585;1
140026337;25;2017;1666435;1666437;1202;E25020;0;E642;9;43;3;5,666667;170;1,492403;44,77208;1
140026338;25;2017;1666435;1666437;1202;E25020;0;E641;9;43;1;1;30;,259259;7,777778;1
140026339;25;2017;1666435;1666437;1202;E25020;0;E579;9;43;14;2,142857;96,428571;,625774;28,159815;1
140026340;25;2017;1666435;1666437;1202;E25010;0;B603;9;43;1;5;150;1,75;52,5;1
140026341;25;2017;1666435;1666437;1202;E25010;0;B593;9;43;1;1;30;,269231;8,076923;1
140026342;25;2017;1666435;1666437;1202;E25010;0;B573;9;43;8;4,875;146,25;1,40899;42,269694;1
140026343;25;2017;1666435;1666437;1202;E25010;0;B572;9;43;2;3,5;105;,907407;27,222222;1
140026344;25;2017;1666435;1666437;1202;E25010;0;B559;9;43;25;5,04;151,2;1,569697;47,090901;1
140026345;25;2017;1666435;1666437;1202;E25010;0;B555;9;43;2;3;90;,698916;20,967492;1
140026346;25;2017;1666435;1666437;1202;E25010;0;A652;9;43;2;1;30;,30463;9,138889;1
140026347;25;2017;1666435;1666437;1202;E25010;0;A651;9;43;9;1,777778;50,555556;,521399;14,720165;1
140026348;25;2017;1666435;1666437;1202;E25010;0;A630;9;43;2;4;240;,903595;54,215686;1
140026349;25;2017;1666435;1666437;1202;E25010;0;A601;9;43;43;18,325581;597,55814;5,578497;182,115985;1
140026350;25;2017;1666435;1666437;1202;E25010;0;A569;9;43;11;4,818182;144,545455;1,467305;44,019151;1
140026351;25;2017;1666435;1666437;1202;E25010;0;A561;9;43;32;4,03125;235,78125;1,260186;73,607118;1
140026352;25;2017;1666435;1666437;1202;E25010;0;A552;9;43;40;16,85;618,5;4,916406;182,04734;1
140026353;25;2017;1666435;1666437;1202;E25010;0;A551;9;43;43;13,790698;411,046512;4,202962;125,395481;1
140031449;25;2017;1666435;1666437;1204;E25010;;ETM_NR;;43;43;56,906977;1947,906977;17,129779;587,816328;1
140031450;25;2017;1666435;1666437;1204;E25010;;ETM_NR;3;43;3;30,333333;885;9,819826;289,020697;1
140031451;25;2017;1666435;1666437;1204;E25010;;ETM_NR;4;43;40;58,9;2027,625;17,678026;610,226001;1
140031452;25;2017;1666435;1666437;1204;E25020;;ETM_NR;;43;43;1,674419;63,837209;,484644;18,67616;1
140031453;25;2017;1666435;1666437;1204;E25020;;ETM_NR;0;43;20;0;0;0;0;1
140031454;25;2017;1666435;1666437;1204;E25020;;ETM_NR;1;43;13;1,615385;66,923077;,482123;19,990385;1
140031455;25;2017;1666435;1666437;1204;E25020;;ETM_NR;3;43;8;4,125;161,25;1,225712;48,511631;1
140031456;25;2017;1666435;1666437;1204;E25020;;ETM_NR;4;43;2;9;292,5;2,383191;77,553419;1
140031457;25;2017;1666435;1666437;1204;E25030;;ETM_NR;;43;43;7,232558;433,953488;2,233162;133,989721;1
140031458;25;2017;1666435;1666437;1204;E25030;;ETM_NR;0;43;5;0;0;0;0;1
140031459;25;2017;1666435;1666437;1204;E25030;;ETM_NR;1;43;3;1,333333;80;,472807;28,368421;1
140031460;25;2017;1666435;1666437;1204;E25030;;ETM_NR;3;43;1;5;300;1,75;105;1
140031461;25;2017;1666435;1666437;1204;E25030;;ETM_NR;4;43;34;8,882353;532,941176;2,731104;163,866257;1
140031462;25;2017;1666435;1666437;1204;E25040;;ETM_NR;;43;43;23,697674;536,395349;7,101386;164,174001;1
140031463;25;2017;1666435;1666437;1204;E25040;;ETM_NR;4;43;43;23,697674;536,395349;7,101386;164,174001;1
140031464;25;2017;1666435;1666437;1204;E25050;;ETM_NR;;43;43;16,139535;154,069767;4,876673;50,431614;1
140031465;25;2017;1666435;1666437;1204;E25050;;ETM_NR;0;43;5;0;0;0;0;1
140031466;25;2017;1666435;1666437;1204;E25050;;ETM_NR;1;43;18;15,666667;83,055556;4,81622;26,025544;1
140031467;25;2017;1666435;1666437;1204;E25050;;ETM_NR;3;43;8;25,875;153,125;6,825499;41,379897;1
140031468;25;2017;1666435;1666437;1204;E25050;;ETM_NR;4;43;12;17,083333;325,416667;5,700082;114,088371;1
140031469;25;2017;1666435;1666437;1204;E25060;;ETM_NR;;43;43;3,348837;137,093023;1,030356;42,057294;1
140031470;25;2017;1666435;1666437;1204;E25060;;ETM_NR;0;43;5;0;0;0;0;1
140031471;25;2017;1666435;1666437;1204;E25060;;ETM_NR;1;43;19;1,421053;55,263158;,456924;18,161829;1
140031472;25;2017;1666435;1666437;1204;E25060;;ETM_NR;3;43;5;2,4;93;,76817;28,761765;1
140031473;25;2017;1666435;1666437;1204;E25060;;ETM_NR;4;43;14;7,5;312,857143;2,270207;94,255719;1
140031474;25;2017;1666435;1666437;1204;E25070;;ETM_NR;;43;43;3,325581;99,767442;1,035653;31,069579;1
140031475;25;2017;1666435;1666437;1204;E25070;;ETM_NR;0;43;1;0;0;0;0;1
140031476;25;2017;1666435;1666437;1204;E25070;;ETM_NR;1;43;31;3,193548;95,806452;,907898;27,23693;1
140031477;25;2017;1666435;1666437;1204;E25070;;ETM_NR;3;43;11;4;120;1,48984;44,695187;1
140031478;25;2017;1666435;1666437;1204;E25080;;ETM_NR;;43;43;,069767;4,186047;,018088;1,085271;1
140031479;25;2017;1666435;1666437;1204;E25080;;ETM_NR;0;43;42;0;0;0;0;1
140031480;25;2017;1666435;1666437;1204;E25080;;ETM_NR;4;43;1;3;180;,777778;46,666667;1
140031481;25;2017;1666435;1666437;1204;E25090;;ETM_NR;;43;43;14,395349;255;4,4156;78,164494;1
140031482;25;2017;1666435;1666437;1204;E25090;;ETM_NR;4;43;43;14,395349;255;4,4156;78,164494;1
140031483;25;2017;1666435;1666437;1204;E25100;;ETM_NR;;43;43;2,395349;35,930233;,724152;10,862272;1
140031484;25;2017;1666435;1666437;1204;E25100;;ETM_NR;4;43;43;2,395349;35,930233;,724152;10,862272;1
140026438;25;2017;1666435;1666438;1202;E25090;0;D593;9;38;9;1;60;,299588;17,975309;1
140026439;25;2017;1666435;1666438;1202;E25090;0;D562;9;38;2;2;40;,65463;12,638889;1
140026440;25;2017;1666435;1666438;1202;E25090;0;D561;9;38;28;1,107143;19,464286;,368056;6,472222;1
140026441;25;2017;1666435;1666438;1202;E25090;0;D553;9;38;27;1;15;,329835;4,947531;1
140026442;25;2017;1666435;1666438;1202;E25090;0;D552;9;38;16;1,0625;30,9375;,362963;10,653935;1
140026443;25;2017;1666435;1666438;1202;E25070;0;F619;9;38;26;4,769231;286,153846;1,53661;92,196581;1
140026444;25;2017;1666435;1666438;1202;E25060;0;F554;9;38;15;2,333333;140;,744074;44,644444;1
140026445;25;2017;1666435;1666438;1202;E25050;0;M622;9;38;32;1,03125;247,5;,336632;80,791667;1
140026446;25;2017;1666435;1666438;1202;E25050;0;M600;9;38;17;1;45,882353;,328649;15,098039;1
140026447;25;2017;1666435;1666438;1202;E25050;0;M590;9;38;38;1,947368;42,631579;,640643;14;1
140026448;25;2017;1666435;1666438;1202;E25050;0;M552;9;38;10;1;30;,335741;10,072222;1
140026449;25;2017;1666435;1666438;1202;E25050;0;M551;9;38;24;1;30;,331096;9,93287;1
140026450;25;2017;1666435;1666438;1202;E25050;0;C632;9;38;24;1;60;,332716;19,962963;1
140026451;25;2017;1666435;1666438;1202;E25040;0;H740;9;38;38;1;15;,329532;4,942982;1
140026452;25;2017;1666435;1666438;1202;E25040;0;H660;9;38;38;1;15;,329532;4,942982;1
140026453;25;2017;1666435;1666438;1202;E25040;0;H621;9;38;1;4;85;1,037037;22,037037;1
140026454;25;2017;1666435;1666438;1202;E25040;0;H575;9;38;32;3,21875;80,625;1,045544;25,982639;1
140026455;25;2017;1666435;1666438;1202;E25040;0;H574;9;38;38;1;15;,329532;4,942982;1
140026456;25;2017;1666435;1666438;1202;E25040;0;H571;9;38;38;1;15;,329532;4,942982;1
140026457;25;2017;1666435;1666438;1202;E25040;0;E702;9;38;1;2;60;,518519;15,555556;1
140026458;25;2017;1666435;1666438;1202;E25040;0;C708;9;38;22;1;57,5;,322896;18,498737;1
140026459;25;2017;1666435;1666438;1202;E25040;0;C697;9;38;28;2,607143;156,428571;,858333;51,5;1
140026460;25;2017;1666435;1666438;1202;E25040;0;C611;9;38;2;1;45;,30463;13,708333;1
140026461;25;2017;1666435;1666438;1202;E25040;0;C552;9;38;38;3,315789;69,868421;1,076267;22,826754;1
