ID;RTS_nr;JAHR;MPDS;PDS;KRIT_NR;AUSPRAEGUNG;LL_UG_NR;AUSPR2;RTS_TYP1;ANZ_S;ANZ_UG;MW_A_PR;MW_M_PR;MW_A_PW;MW_M_PW;filter_$
146275060;31;2017;1683077;1683096;1202;E31110;0;D572;9;177;4;1,25;20;,238916;3,797158;0
146275061;31;2017;1683077;1683096;1202;E31110;0;D571;9;177;150;1;15,1;,182015;2,747722;0
146275062;31;2017;1683077;1683096;1202;E31100;0;D553;9;177;155;1,012903;30,580645;,192944;5,812098;0
146275063;31;2017;1683077;1683096;1202;E31100;0;C551;9;177;162;1,283951;66,944444;,240178;12,518351;0
146275064;31;2017;1683077;1683096;1202;E31080;0;L570;9;177;169;11,08284;337,573964;1,978515;60,349341;0
146275065;31;2017;1683077;1683096;1202;E31080;0;L560;9;177;176;53,227273;2633,352273;9,47653;470,489943;0
146275066;31;2017;1683077;1683096;1202;E31080;0;H770;9;177;27;4;960;,678227;162,774365;0
146275067;31;2017;1683077;1683096;1202;E31080;0;H760;9;177;3;16,333333;490;2,484405;74,532151;0
146275068;31;2017;1683077;1683096;1202;E31080;0;H730;9;177;174;40,132184;1232,241379;7,253557;222,554981;0
146275069;31;2017;1683077;1683096;1202;E31080;0;E720;9;177;4;1;60;,177535;10,652097;0
146275070;31;2017;1683077;1683096;1202;E31080;0;E653;9;177;12;2,083333;62,5;,402387;12,071622;0
146275071;31;2017;1683077;1683096;1202;E31080;0;E652;9;177;50;4,82;216,9;,892215;40,149688;0
146275072;31;2017;1683077;1683096;1202;E31080;0;D596;9;177;5;4;240;,718895;43,133693;0
146275073;31;2017;1683077;1683096;1202;E31070;0;G601;9;177;13;2,384615;143,076923;,465583;27,934994;0
146275074;31;2017;1683077;1683096;1202;E31070;0;G592;9;177;22;1,863636;55,909091;,336878;10,106342;0
146275075;31;2017;1683077;1683096;1202;E31070;0;F581;9;177;167;2,928144;175,688623;,537715;32,262872;0
146275076;31;2017;1683077;1683096;1202;E31070;0;F579;9;177;174;8,58046;396,954023;1,565151;72,820019;0
146275077;31;2017;1683077;1683096;1202;E31070;0;F575;9;177;25;2,68;160,8;,468663;28,119751;0
146275078;31;2017;1683077;1683096;1202;E31070;0;F560;9;177;3;2;120;,387082;23,224911;0
146275079;31;2017;1683077;1683096;1202;E31070;0;F555;9;177;20;1,05;31,5;,200616;6,018482;0
146275080;31;2017;1683077;1683096;1202;E31070;0;F554;9;177;169;3,668639;103,076923;,675552;19,028269;0
146275081;31;2017;1683077;1683096;1202;E31060;0;M621;9;177;173;3,184971;513,901734;,600209;94,519836;0
146275082;31;2017;1683077;1683096;1202;E31060;0;M610;9;177;174;117,614943;3528,448276;21,26661;637,998287;0
146275083;31;2017;1683077;1683096;1202;E31060;0;M590;9;177;2;32,5;1140;6,146159;215,526316;0
146275084;31;2017;1683077;1683096;1202;E31060;0;C632;9;177;18;1;90;,22826;20,543419;0
146275085;31;2017;1683077;1683096;1202;E31050;0;C824;9;177;44;1,522727;104,318182;,310187;20,511969;0
146275086;31;2017;1683077;1683096;1202;E31050;0;C639;9;177;17;1;60;,231129;13,867753;0
146275087;31;2017;1683077;1683096;1202;E31050;0;C631;9;177;157;1,012739;60;,190161;11,26889;0
146275088;31;2017;1683077;1683096;1202;E31050;0;C620;9;177;1;1;45;,170732;7,682927;0
146275089;31;2017;1683077;1683096;1202;E31050;0;C552;9;177;5;1;30;,207894;6,236815;0
146275090;31;2017;1683077;1683096;1202;E31030;0;C823;9;177;17;5;433,823529;1,164859;100,359368;0
146275091;31;2017;1683077;1683096;1202;E31030;0;C695;9;177;174;7,994253;417,241379;1,479216;76,893018;0
146275092;31;2017;1683077;1683096;1202;E31020;0;L559;9;177;173;43,069364;1290;7,692212;230,226861;0
146275093;31;2017;1683077;1683096;1202;E31020;0;L552;9;177;176;24,539773;803,522727;4,373906;143,189828;0
146275094;31;2017;1683077;1683096;1202;E31020;0;L551;9;177;173;32,150289;984,190751;5,837287;179,018765;0
146275095;31;2017;1683077;1683096;1202;E31010;0;B609;9;177;169;2,887574;59,467456;,530293;10,935729;0
146275096;31;2017;1683077;1683096;1202;E31010;0;B573;9;177;174;16,689655;501,206897;3,012722;90,515763;0
146275097;31;2017;1683077;1683096;1202;E31010;0;B571;9;177;8;6;180;1,089564;32,686916;0
146275098;31;2017;1683077;1683096;1202;E31010;0;B569;9;177;1;1;20;,127273;2,545455;0
146275099;31;2017;1683077;1683096;1202;E31010;0;B565;9;177;1;6;120;2,1;42;0
146275100;31;2017;1683077;1683096;1202;E31010;0;B563;9;177;18;5,666667;170;1,047487;31,424619;0
146275101;31;2017;1683077;1683096;1202;E31010;0;B559;9;177;53;1,377358;41,320755;,254898;7,646941;0
146275102;31;2017;1683077;1683096;1202;E31010;0;B553;9;177;5;4;80;,6151;12,301996;0
146275103;31;2017;1683077;1683096;1202;E31010;0;A640;9;177;16;6,5;292,5;1,492908;67,18085;0
146275104;31;2017;1683077;1683096;1202;E31010;0;A610;9;177;174;9,275862;414,310345;1,690098;75,373098;0
146275105;31;2017;1683077;1683096;1202;E31010;0;A590;9;177;161;10,484472;490,15528;1,887264;88,151556;0
146275106;31;2017;1683077;1683096;1202;E31010;0;A580;9;177;1;1;45;,184211;8,289474;0
146275107;31;2017;1683077;1683096;1202;E31010;0;A552;9;177;171;8,871345;266,842105;1,594116;47,952748;0
146275196;31;2017;1683077;1683096;1202;E31040;1;G700;9;111;1;1;50;,269231;13,461538;0
146275197;31;2017;1683077;1683096;1202;E31040;1;G680;9;111;1;1;60;,269231;16,153846;0
146275198;31;2017;1683077;1683096;1202;E31040;1;D610;9;111;2;1,5;90;,398942;23,936545;0
146275199;31;2017;1683077;1683096;1202;E31040;1;C560;9;111;78;1,076923;30,961538;,209756;5,990068;0
146275205;31;2017;1683077;1683096;1202;E31090;2;E590;9;66;8;5,625;337,5;1,136202;68,172141;0
146275206;31;2017;1683077;1683096;1202;E31090;2;D593;9;66;35;1;120;,178598;21,431762;0
146275207;31;2017;1683077;1683096;1202;E31090;2;D583;9;66;36;1;60;,186658;11,199454;0
146275208;31;2017;1683077;1683096;1202;E31090;2;D563;9;66;2;1;20;,149002;2,980044;0
146278634;31;2017;1683077;1683096;1204;E31010; ;ETM_NR; ;177;177;48,39548;1727,966102;8,784225;313,710652;0
