ID;RTS_nr;JAHR;MPDS;PDS;KRIT_NR;AUSPRAEGUNG;LL_UG_NR;AUSPR2;RTS_TYP1;ANZ_S;ANZ_UG;MW_A_PR;MW_M_PR;MW_A_PW;MW_M_PW;filter_$
146531103;32;2017;1683078;1683119;1202;E32130;0;D579;9;73;1;1;30;,259259;7,777778;0
146531104;32;2017;1683078;1683119;1202;E32130;0;D573;9;73;65;1,046154;15,692308;,274224;4,113367;0
146531105;32;2017;1683078;1683119;1202;E32130;0;D572;9;73;1;1;30;,259259;7,777778;0
146531106;32;2017;1683078;1683119;1202;E32120;0;D552;9;73;1;1;30;,259259;7,777778;0
146531107;32;2017;1683078;1683119;1202;E32100;0;L570;9;73;54;4,851852;176,111111;1,259711;45,612567;0
146531108;32;2017;1683078;1683119;1202;E32100;0;L560;9;73;71;16,859155;1133,028169;4,38812;295,049743;0
146531109;32;2017;1683078;1683119;1202;E32100;0;H770;9;73;1;8;1050;2,074074;272,222222;0
146531110;32;2017;1683078;1683119;1202;E32100;0;H750;9;73;3;1,333333;20;,345679;5,185185;0
146531111;32;2017;1683078;1683119;1202;E32100;0;H730;9;73;39;1,076923;29,230769;,280245;7,59783;0
146531112;32;2017;1683078;1683119;1202;E32100;0;E720;9;73;1;2;160;,518519;41,481481;0
146531113;32;2017;1683078;1683119;1202;E32100;0;E690;9;73;1;1;30;,259259;7,777778;0
146531114;32;2017;1683078;1683119;1202;E32100;0;E653;9;73;1;3;180;,777778;46,666667;0
146531115;32;2017;1683078;1683119;1202;E32100;0;E652;9;73;6;1,333333;80;,345679;20,740741;0
146531116;32;2017;1683078;1683119;1202;E32100;0;E651;9;73;1;2;120;,518519;31,111111;0
146531117;32;2017;1683078;1683119;1202;E32100;0;E641;9;73;16;2,5625;153,75;,665648;39,938889;0
146531118;32;2017;1683078;1683119;1202;E32090;0;F619;9;73;58;4,465517;134,741379;1,164996;35,151023;0
146531119;32;2017;1683078;1683119;1202;E32080;0;F703;9;73;1;2;120;,518519;31,111111;0
146531120;32;2017;1683078;1683119;1202;E32080;0;F571;9;73;10;3;180;,756427;45,385621;0
146531121;32;2017;1683078;1683119;1202;E32080;0;F554;9;73;6;1,666667;100;,432099;25,925926;0
146531122;32;2017;1683078;1683119;1202;E32070;0;M622;9;73;1;1;90;,259259;23,333333;0
146531123;32;2017;1683078;1683119;1202;E32070;0;M621;9;73;4;1,25;112,5;,324074;29,166667;0
146531124;32;2017;1683078;1683119;1202;E32070;0;M600;9;73;5;1;45;,259259;11,666667;0
146531125;32;2017;1683078;1683119;1202;E32070;0;M590;9;73;7;1;45;,262108;11,794872;0
146531126;32;2017;1683078;1683119;1202;E32070;0;M552;9;73;27;2,074074;63,333333;,537704;16,419471;0
146531127;32;2017;1683078;1683119;1202;E32060;0;C824;9;73;14;1,142857;68,571429;,296296;17,777778;0
146531128;32;2017;1683078;1683119;1202;E32060;0;C639;9;73;33;1,030303;46,818182;,268022;12,17884;0
146531129;32;2017;1683078;1683119;1202;E32060;0;C634;9;73;1;1;60;,259259;15,555556;0
146531130;32;2017;1683078;1683119;1202;E32060;0;C552;9;73;20;2,2;45;,568319;11,636783;0
146531131;32;2017;1683078;1683119;1202;E32050;0;C560;9;73;73;13,863014;231,369863;3,588144;59,975598;0
146531132;32;2017;1683078;1683119;1202;E32040;0;C823;9;73;39;6,538462;401,538462;1,706407;104,777559;0
146531133;32;2017;1683078;1683119;1202;E32040;0;C741;9;73;32;2,1875;106,875;,566336;27,672634;0
146531134;32;2017;1683078;1683119;1202;E32030;0;K712;9;73;5;1,8;27;,466667;7;0
146531135;32;2017;1683078;1683119;1202;E32030;0;K582;9;73;5;2,4;36;,622222;9,333333;0
146531136;32;2017;1683078;1683119;1202;E32030;0;K581;9;73;71;6,816901;102,253521;1,770884;26,56326;0
146531137;32;2017;1683078;1683119;1202;E32030;0;H622;9;73;46;6,804348;96,195652;1,737766;24,544755;0
146531138;32;2017;1683078;1683119;1202;E32030;0;H560;9;73;4;1,5;22,5;,351349;5,270236;0
146531139;32;2017;1683078;1683119;1202;E32020;0;L559;9;73;56;3,196429;170,089286;,829492;44,16807;0
146531140;32;2017;1683078;1683119;1202;E32020;0;L552;9;73;57;7,684211;248,947368;2,00496;64,946451;0
146531141;32;2017;1683078;1683119;1202;E32020;0;L551;9;73;1;1;90;,259259;23,333333;0
146531142;32;2017;1683078;1683119;1202;E32010;0;B561;9;73;14;2,857143;85,714286;,745014;22,350427;0
146531143;32;2017;1683078;1683119;1202;E32010;0;B553;9;73;3;6,333333;190;1,648623;49,458689;0
146531144;32;2017;1683078;1683119;1202;E32010;0;B551;9;73;2;1;30;,259259;7,777778;0
146531145;32;2017;1683078;1683119;1202;E32010;0;A640;9;73;65;7,907692;355,846154;2,063612;92,862548;0
146531146;32;2017;1683078;1683119;1202;E32010;0;A601;9;73;5;4,6;207;1,192593;53,666667;0
146531147;32;2017;1683078;1683119;1202;E32010;0;A590;9;73;22;7,227273;322,5;1,863353;83,143821;0
146531148;32;2017;1683078;1683119;1202;E32010;0;A552;9;73;5;4,6;246;1,192593;63,777778;0
146531149;32;2017;1683078;1683119;1202;E32010;0;A551;9;73;1;4;240;1,037037;62,222222;0
146532726;32;2017;1683078;1683119;1204;E32010; ;ETM_NR; ;73;73;10,739726;473,424658;2,79433;123,171394;0
146532727;32;2017;1683078;1683119;1204;E32010; ;ETM_NR;1;73;1;3;135;,777778;35;0
146532728;32;2017;1683078;1683119;1204;E32010; ;ETM_NR;3;73;14;6,428571;288,214286;1,661346;74,48278;0
146532729;32;2017;1683078;1683119;1204;E32010; ;ETM_NR;4;73;58;11,913793;523,965517;3,102578;136,444014;0
146532730;32;2017;1683078;1683119;1204;E32020; ;ETM_NR; ;73;73;8,465753;326,09589;2,205391;84,913603;0
146532731;32;2017;1683078;1683119;1204;E32020; ;ETM_NR;0;73;6;0;0;0;0;0
146532732;32;2017;1683078;1683119;1204;E32020; ;ETM_NR;1;73;17;3,294118;131,470588;,812685;32,391015;0
146532733;32;2017;1683078;1683119;1204;E32020; ;ETM_NR;3;73;20;8,65;284,25;2,254558;74,068376;0
146532734;32;2017;1683078;1683119;1204;E32020; ;ETM_NR;4;73;30;12,966667;529,5;3,402891;138,889274;0
146532735;32;2017;1683078;1683119;1204;E32030; ;ETM_NR; ;73;73;11,287671;165,616438;2,911231;42,709559;0
146532736;32;2017;1683078;1683119;1204;E32030; ;ETM_NR;1;73;1;1;15;,269231;4,038462;0
