ID;RTS_nr;JAHR;MPDS;PDS;KRIT_NR;AUSPRAEGUNG;LL_UG_NR;AUSPR2;RTS_TYP1;ANZ_S;ANZ_UG;MW_A_PR;MW_M_PR;MW_A_PW;MW_M_PW;filter_$
146535617;29;2017;1679971;1679972;1202;E29130;0;D579;9;610;4;1,25;33,75;,326567;8,824786;0
146535618;29;2017;1679971;1679972;1202;E29130;0;D573;9;610;502;1,113546;16,703187;,28758;4,313704;0
146535619;29;2017;1679971;1679972;1202;E29130;0;D572;9;610;12;1,083333;32,5;,269039;8,071165;0
146535620;29;2017;1679971;1679972;1202;E29130;0;D571;9;610;1;3;180;,777778;46,666667;0
146535621;29;2017;1679971;1679972;1202;E29120;0;D592;9;610;1;1;60;,259259;15,555556;0
146535622;29;2017;1679971;1679972;1202;E29120;0;D552;9;610;1;1;30;,259259;7,777778;0
146535623;29;2017;1679971;1679972;1202;E29120;0;C551;9;610;4;4,75;71,25;1,220388;18,305823;0
146535624;29;2017;1679971;1679972;1202;E29110;0;D593;9;610;1;1;60;,269231;16,153846;0
146535625;29;2017;1679971;1679972;1202;E29100;0;L570;9;610;489;4,662577;158,619632;1,196591;40,733871;0
146535626;29;2017;1679971;1679972;1202;E29100;0;L560;9;610;603;17,215589;1181,0199;4,410736;302,654465;0
146535627;29;2017;1679971;1679972;1202;E29100;0;H770;9;610;1;5;660;1,346154;177,692308;0
146535628;29;2017;1679971;1679972;1202;E29100;0;H760;9;610;7;1,428571;32,142857;,376296;8,422222;0
146535629;29;2017;1679971;1679972;1202;E29100;0;H750;9;610;35;1,285714;21,857143;,332086;5,602201;0
146535630;29;2017;1679971;1679972;1202;E29100;0;H730;9;610;427;1,140515;30,140515;,294493;7,775987;0
146535631;29;2017;1679971;1679972;1202;E29100;0;E720;9;610;2;3,5;170;,937322;45,270655;0
146535632;29;2017;1679971;1679972;1202;E29100;0;E690;9;610;31;1,16129;60;,282958;14,62349;0
146535633;29;2017;1679971;1679972;1202;E29100;0;E653;9;610;16;1,6875;146,25;,422255;37,450674;0
146535634;29;2017;1679971;1679972;1202;E29100;0;E652;9;610;64;1,765625;105,9375;,43835;26,300978;0
146535635;29;2017;1679971;1679972;1202;E29100;0;E651;9;610;1;1;60;,259259;15,555556;0
146535636;29;2017;1679971;1679972;1202;E29100;0;E641;9;610;170;2,376471;142,588235;,604145;36,248673;0
146535637;29;2017;1679971;1679972;1202;E29090;0;F703;9;610;3;2;123,333333;,521842;32,075024;0
146535638;29;2017;1679971;1679972;1202;E29090;0;F571;9;610;99;2,959596;177,575758;,756082;45,36492;0
146535639;29;2017;1679971;1679972;1202;E29090;0;F554;9;610;86;2,348837;138,139535;,593628;34,871561;0
146535640;29;2017;1679971;1679972;1202;E29080;0;M622;9;610;1;1;90;,259259;23,333333;0
146535641;29;2017;1679971;1679972;1202;E29080;0;M621;9;610;37;1,027027;92,432432;,260544;23,449001;0
146535642;29;2017;1679971;1679972;1202;E29080;0;M600;9;610;42;1,571429;79,642857;,403079;20,464054;0
146535643;29;2017;1679971;1679972;1202;E29080;0;M590;9;610;28;1,071429;48,214286;,263534;11,859043;0
146535644;29;2017;1679971;1679972;1202;E29080;0;M552;9;610;78;2,064103;63,653846;,533252;16,581948;0
146535645;29;2017;1679971;1679972;1202;E29070;0;C824;9;610;52;1,057692;63,461538;,274534;16,472026;0
146535646;29;2017;1679971;1679972;1202;E29070;0;C639;9;610;451;1;45,033259;,258215;11,625484;0
146535647;29;2017;1679971;1679972;1202;E29070;0;C634;9;610;1;1;60;,259259;15,555556;0
146535648;29;2017;1679971;1679972;1202;E29070;0;C631;9;610;1;1;60;,259259;15,555556;0
146535649;29;2017;1679971;1679972;1202;E29070;0;C552;9;610;92;1,358696;22,173913;,353252;5,757046;0
146535650;29;2017;1679971;1679972;1202;E29060;0;C560;9;610;609;14,180624;235,049261;3,645392;60,430293;0
146535651;29;2017;1679971;1679972;1202;E29050;0;C823;9;610;488;5,592213;420,952869;1,440021;108,427723;0
146535652;29;2017;1679971;1679972;1202;E29050;0;C731;9;610;375;2,016;91,36;,52093;23,607771;0
146535653;29;2017;1679971;1679972;1202;E29040;0;H611;9;610;607;2,584843;38,772652;,668918;10,033773;0
146535654;29;2017;1679971;1679972;1202;E29040;0;H572;9;610;437;2,382151;35,732265;,616168;9,242515;0
146535655;29;2017;1679971;1679972;1202;E29030;0;B571;9;610;73;3,136986;93,219178;,802679;23,84817;0
146535656;29;2017;1679971;1679972;1202;E29030;0;B561;9;610;529;2,867675;85,94518;,741929;22,235829;0
146535657;29;2017;1679971;1679972;1202;E29030;0;B551;9;610;89;3,067416;92,022472;,790473;23,714186;0
146535658;29;2017;1679971;1679972;1202;E29020;0;L559;9;610;488;3,538934;184,918033;,901865;47,15842;0
146535659;29;2017;1679971;1679972;1202;E29020;0;L552;9;610;559;7,543828;257,710197;1,937516;66,060486;0
146535660;29;2017;1679971;1679972;1202;E29020;0;L551;9;610;6;1,666667;106,666667;,432099;27,654321;0
146535661;29;2017;1679971;1679972;1202;E29010;0;B573;9;610;3;4;120;1,037037;31,111111;0
146535662;29;2017;1679971;1679972;1202;E29010;0;B553;9;610;20;7,1;213;1,802912;54,087371;0
146535663;29;2017;1679971;1679972;1202;E29010;0;A640;9;610;522;7,568966;340,603448;1,951127;87,800717;0
146535664;29;2017;1679971;1679972;1202;E29010;0;A601;9;610;158;5,71519;257,183544;1,467726;66,04768;0
146535665;29;2017;1679971;1679972;1202;E29010;0;A590;9;610;276;8,434783;377,717391;2,162057;96,810257;0
146535666;29;2017;1679971;1679972;1202;E29010;0;A552;9;610;75;3,826667;182;,974931;46,381895;0
146535667;29;2017;1679971;1679972;1202;E29010;0;A551;9;610;1;3;180;,777778;46,666667;0
146537815;29;2017;1679971;1679972;1204;E29010;;ETM_NR;;610;610;12,501639;559,229508;3,213416;143,750047;0
146537816;29;2017;1679971;1679972;1204;E29010;;ETM_NR;1;610;10;4,4;195;1,141268;50,517084;0
146537817;29;2017;1679971;1679972;1204;E29010;;ETM_NR;3;610;47;6,659574;298,404255;1,719783;77,032781;0
146537818;29;2017;1679971;1679972;1204;E29010;;ETM_NR;4;610;553;13,144665;587,983725;3,377832;151,10636;0
146537819;29;2017;1679971;1679972;1204;E29020;;ETM_NR;;610;610;9,760656;385,147541;2,50127;98,536142;0
146537820;29;2017;1679971;1679972;1204;E29020;;ETM_NR;0;610;21;0;0;0;0;0
146537821;29;2017;1679971;1679972;1204;E29020;;ETM_NR;1;610;390;7,802564;276,371795;2,012427;71,219253;0
146537822;29;2017;1679971;1679972;1204;E29020;;ETM_NR;3;610;153;13,607843;566,27451;3,473815;144,462852;0
146537823;29;2017;1679971;1679972;1204;E29020;;ETM_NR;4;610;46;18,021739;880,76087;4,552915;222,363511;0
146537824;29;2017;1679971;1679972;1204;E29030;;ETM_NR;;610;610;3,309836;99,114754;,854801;25,597103;0
146537825;29;2017;1679971;1679972;1204;E29030;;ETM_NR;0;610;6;0;0;0;0;0
146537826;29;2017;1679971;1679972;1204;E29030;;ETM_NR;3;610;15;1;30;,268134;8,044017;0
146537827;29;2017;1679971;1679972;1204;E29030;;ETM_NR;4;610;589;3,402377;101,88455;,878449;26,304877;0
146537828;29;2017;1679971;1679972;1204;E29040;;ETM_NR;;610;610;4,278689;64,180328;1,107047;16,605704;0
146537829;29;2017;1679971;1679972;1204;E29040;;ETM_NR;0;610;3;0;0;0;0;0
146537830;29;2017;1679971;1679972;1204;E29040;;ETM_NR;4;610;607;4,299835;64,497529;1,112518;16,687775;0
146537831;29;2017;1679971;1679972;1204;E29050;;ETM_NR;;610;610;5,713115;392,92623;1,472261;101,255152;0
146537832;29;2017;1679971;1679972;1204;E29050;;ETM_NR;0;610;55;0;0;0;0;0
146537833;29;2017;1679971;1679972;1204;E29050;;ETM_NR;1;610;79;2,113924;102,721519;,550098;26,748993;0
146537834;29;2017;1679971;1679972;1204;E29050;;ETM_NR;3;610;72;4,958333;365,208333;1,274522;93,864174;0
146537835;29;2017;1679971;1679972;1204;E29050;;ETM_NR;4;610;404;7,329208;508,106436;1,888257;130,926366;0
146537836;29;2017;1679971;1679972;1204;E29060;;ETM_NR;;610;610;14,157377;234,663934;3,639416;60,331227;0
146537837;29;2017;1679971;1679972;1204;E29060;;ETM_NR;0;610;1;0;0;0;0;0
146537838;29;2017;1679971;1679972;1204;E29060;;ETM_NR;1;610;1;1;15;,304348;4,565217;0
146537839;29;2017;1679971;1679972;1204;E29060;;ETM_NR;4;610;608;14,202303;235,411184;3,650887;60,522176;0
146537840;29;2017;1679971;1679972;1204;E29070;;ETM_NR;;610;610;1,037705;42,245902;,26844;10,918685;0
146537841;29;2017;1679971;1679972;1204;E29070;;ETM_NR;0;610;122;0;0;0;0;0
146537842;29;2017;1679971;1679972;1204;E29070;;ETM_NR;1;610;21;1,190476;18,571429;,312936;4,879227;0
146537843;29;2017;1679971;1679972;1204;E29070;;ETM_NR;3;610;354;1,00565;45;,259989;11,632334;0
146537844;29;2017;1679971;1679972;1204;E29070;;ETM_NR;4;610;113;2,230088;83,628319;,576465;21,593699;0
146537845;29;2017;1679971;1679972;1204;E29080;;ETM_NR;;610;610;,485246;21,590164;,124264;5,534232;0
146537846;29;2017;1679971;1679972;1204;E29080;;ETM_NR;0;610;491;0;0;0;0;0
146537847;29;2017;1679971;1679972;1204;E29080;;ETM_NR;1;610;76;1,210526;29,407895;,306042;7,392008;0
146537848;29;2017;1679971;1679972;1204;E29080;;ETM_NR;3;610;1;2;90;,518519;23,333333;0
146537849;29;2017;1679971;1679972;1204;E29080;;ETM_NR;4;610;42;4,809524;258,214286;1,238658;66,446568;0
146537850;29;2017;1679971;1679972;1204;E29090;;ETM_NR;;610;610;,821311;48,901639;,208967;12,436568;0
146537851;29;2017;1679971;1679972;1204;E29090;;ETM_NR;0;610;449;0;0;0;0;0
146537852;29;2017;1679971;1679972;1204;E29090;;ETM_NR;1;610;1;1;30;,269231;8,076923;0
146537853;29;2017;1679971;1679972;1204;E29090;;ETM_NR;4;610;160;3,125;186,25;,795003;47,363935;0
146537854;29;2017;1679971;1679972;1204;E29100;;ETM_NR;;610;610;22,616393;1376,819672;5,794392;352,74877;0
146537855;29;2017;1679971;1679972;1204;E29100;;ETM_NR;0;610;6;0;0;0;0;0
146537856;29;2017;1679971;1679972;1204;E29100;;ETM_NR;1;610;44;4,909091;262,386364;1,288939;68,989854;0
146537857;29;2017;1679971;1679972;1204;E29100;;ETM_NR;3;610;49;10,693878;592,959184;2,798366;154,88674;0
146537858;29;2017;1679971;1679972;1204;E29100;;ETM_NR;4;610;511;25,549902;1564,109589;6,537663;400,296958;0
146537859;29;2017;1679971;1679972;1204;E29110;;ETM_NR;;610;610;,001639;,098361;,000441;,026482;0
146537860;29;2017;1679971;1679972;1204;E29110;;ETM_NR;4;610;610;,001639;,098361;,000441;,026482;0
146537861;29;2017;1679971;1679972;1204;E29120;;ETM_NR;;610;610;,034426;,614754;,008853;,15829;0
146537862;29;2017;1679971;1679972;1204;E29120;;ETM_NR;0;610;604;0;0;0;0;0
146537863;29;2017;1679971;1679972;1204;E29120;;ETM_NR;1;610;1;1;15;,175;2,625;0
146537864;29;2017;1679971;1679972;1204;E29120;;ETM_NR;4;610;5;4;72;1,045014;18,786325;0
146537865;29;2017;1679971;1679972;1204;E29130;;ETM_NR;;610;610;,95082;14,901639;,245373;3,843113;0
146537866;29;2017;1679971;1679972;1204;E29130;;ETM_NR;0;610;104;0;0;0;0;0
146537867;29;2017;1679971;1679972;1204;E29130;;ETM_NR;4;610;506;1,146245;17,964427;,295806;4,633002;0
146535756;29;2017;1679971;1679973;1202;E29130;0;D579;9;189;180;1,005556;20,055556;,251337;5,014795;0
146535757;29;2017;1679971;1679973;1202;E29120;0;C551;9;189;179;1,877095;90,502793;,469409;22,511885;0
146535758;29;2017;1679971;1679973;1202;E29100;0;L570;9;189;66;1,151515;69,090909;,282686;16,961177;0
146535759;29;2017;1679971;1679973;1202;E29100;0;L560;9;189;189;29,518519;1170,132275;7,373838;292,065912;0
146535760;29;2017;1679971;1679973;1202;E29100;0;H780;9;189;188;12,468085;248,723404;3,109747;62,029449;0
146535761;29;2017;1679971;1679973;1202;E29100;0;E680;9;189;187;8,326203;251,71123;2,075823;62,773804;0
146535762;29;2017;1679971;1679973;1202;E29100;0;E653;9;189;2;5,5;247,5;1,425926;64,166667;0
146535763;29;2017;1679971;1679973;1202;E29100;0;E641;9;189;32;4,6875;161,71875;1,09772;38,183413;0
146535764;29;2017;1679971;1679973;1202;E29090;0;F579;9;189;175;1,36;101,657143;,342027;25,563136;0
146535765;29;2017;1679971;1679973;1202;E29090;0;F554;9;189;14;1,642857;98,571429;,350486;21,029133;0
