PDS;ANZ_S;RTS_E25100.0;RTS_E25100.1;RTS_E25100.3;RTS_E25100.4;RTS_E25100.9;RTS_E25090.0;RTS_E25090.1;RTS_E25090.3;RTS_E25090.4;RTS_E25090.9;RTS_E25080.0;RTS_E25080.1;RTS_E25080.3;RTS_E25080.4;RTS_E25080.9;RTS_E25070.0;RTS_E25070.1;RTS_E25070.3;RTS_E25070.4;RTS_E25070.9;RTS_E25060.0;RTS_E25060.1;RTS_E25060.3;RTS_E25060.4;RTS_E25060.9;RTS_E25050.0;RTS_E25050.1;RTS_E25050.3;RTS_E25050.4;RTS_E25050.9;RTS_E25040.0;RTS_E25040.1;RTS_E25040.3;RTS_E25040.4;RTS_E25040.9;RTS_E25030.0;RTS_E25030.1;RTS_E25030.3;RTS_E25030.4;RTS_E25030.9;RTS_E25020.0;RTS_E25020.1;RTS_E25020.3;RTS_E25020.4;RTS_E25020.9;RTS_E25010.0;RTS_E25010.1;RTS_E25010.3;RTS_E25010.4;RTS_E25010.9
1956914;1202;1;;;1201;;1;158;70;973;;1124;2;3;73;;503;46;130;523;;407;99;26;670;;;;1;1201;;;1;16;1185;;;17;148;1037;;999;32;25;146;;;33;125;1044;
1956915;91;;;;91;;;3;;88;;86;;;5;;15;11;30;35;;;19;32;40;;;9;13;69;;;;3;88;;9;16;31;35;;61;14;5;11;;;;1;90;
1956916;213;1;;;212;;68;1;8;136;;198;;5;10;;94;33;41;45;;48;86;25;54;;;17;55;141;;;;2;211;;6;8;24;175;;187;7;2;17;;;18;47;148;
1956917;117;23;;;94;;;;;117;;104;2;3;8;;53;33;8;23;;66;16;;35;;;;;117;;;;;117;;12;3;25;77;;98;2;1;16;;;8;14;95;
1956918;212;25;;;187;;17;;5;190;;179;22;10;1;;21;62;48;81;;8;72;;132;;;;;212;;;;;212;;12;35;34;131;;21;116;28;47;;;2;6;204;
1956919;265;3;;;262;;;;;265;;253;1;7;4;;55;19;54;137;;56;46;8;155;;5;8;11;241;;;2;25;238;;30;70;38;127;;24;166;18;57;;;;4;261;
1956920;31;;;;31;;5;;1;25;;29;1;;1;;12;;10;9;;8;10;;13;;;1;;30;;;;1;30;;;8;6;17;;19;2;2;8;;;1;3;27;
1956921;452;;;;452;;;5;21;426;;347;7;;98;;44;59;119;230;;131;73;62;186;;6;7;82;357;;;1;1;450;;2;10;26;414;;12;154;81;205;;;40;138;274;
1956922;140;2;;;138;;1;;;139;;125;5;6;4;;44;14;38;44;;7;30;;103;;1;13;17;109;;;;38;102;;1;4;17;118;;119;6;6;9;;;3;11;126;
1956923;207;;;;207;;;;;207;;176;;1;30;;109;7;4;87;;2;19;9;177;;;3;2;202;;;;;207;;1;;;206;;127;32;10;38;;;;2;205;
1956924;345;;;;345;;35;;3;307;;325;3;7;10;;156;24;31;134;;130;78;;137;;1;5;5;334;;;;5;340;;4;1;20;320;;232;22;18;73;;;10;14;321;
1956925;26;6;;;20;;;;;26;;20;;;6;;8;2;6;10;;14;2;3;7;;2;9;4;11;;;;7;19;;3;22;1;;;16;6;1;3;;;;;26;
1956926;31;;;;31;;;;2;29;;25;;;6;;10;4;7;10;;;24;;7;;;1;2;28;;;;;31;;4;;17;10;;25;3;1;2;;;;1;30;
1956927;55;2;;;53;;;1;;54;;46;;;9;;9;7;15;24;;12;11;5;27;;;3;1;51;;;;;55;;2;5;3;45;;8;29;10;8;;;2;5;48;
1956928;100;1;;;99;;;3;;97;;83;11;;6;;62;6;7;25;;13;50;1;36;;;2;5;93;;;;;100;;;4;12;84;;70;1;;29;;;;;100;
1956929;130;5;;;125;;;;;130;;92;5;2;31;;4;10;33;83;;2;17;3;108;;;7;7;116;;;1;2;127;;1;4;23;102;;3;8;8;111;;;;1;129;
1956930;216;106;;;110;;;27;;189;;192;12;;12;;42;6;24;144;;46;62;51;57;;;2;1;213;;;;;216;;1;2;3;210;;118;4;12;82;;;1;6;209;
1956931;258;4;;;254;;4;;1;253;;221;7;6;24;;141;32;39;46;;141;8;18;91;;2;3;3;250;;;;6;252;;3;5;39;211;;145;51;19;43;;;6;16;236;
1956932;246;1;;;245;;;;;246;;202;7;22;15;;212;10;11;13;;3;151;36;56;;5;18;37;186;;;1;24;221;;9;46;64;127;;2;224;3;17;;;;1;245;
1956933;61;1;;;60;;;;5;56;;46;4;3;8;;;25;20;16;;2;22;2;35;;;3;5;53;;;4;5;52;;3;7;12;39;;10;15;15;21;;;;1;60;
1956934;452;28;;;424;;15;13;8;416;;395;18;;39;;28;131;86;207;;106;140;15;191;;;33;29;390;;;140;82;230;;3;9;120;320;;217;98;44;93;;;7;33;412;
